date,weather,temperature
2025-12-26,1,14.979166666666666
2025-12-27,3,15.1
2025-12-28,1,14.0375
2025-12-29,51,13.108333333333334
2025-12-30,3,13.25
2025-12-31,3,12.85
2026-01-01,3,13.15
